127.0.0.1 - - [10/Oct/2024:10:05:24 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:05:36 +0900] "GET /StudyJSP/03_Scope/pageContextMain.jsp HTTP/1.1" 500 2816
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:05:36 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:05:53 +0900] "GET /StudyJSP/03_Scope/pageContextMain.jsp HTTP/1.1" 500 2816
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:06:25 +0900] "GET /StudyJSP/03_Scope/pageInclude.jsp HTTP/1.1" 500 2793
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:06:28 +0900] "GET /StudyJSP/03_Scope/pageContextMain.jsp HTTP/1.1" 500 2816
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:06:51 +0900] "GET /StudyJSP/03_Scope/pageContextMain.jsp HTTP/1.1" 500 2816
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:07:27 +0900] "GET /StudyJSP/03_Scope/pageContextMain.jsp HTTP/1.1" 500 2816
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:12:10 +0900] "GET /StudyJSP/03_Scope/pageContextMain.jsp HTTP/1.1" 500 2816
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:14:22 +0900] "GET /StudyJSP/03_Scope/pageContextMain.jsp HTTP/1.1" 500 2816
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:14:44 +0900] "GET /StudyJSP/03_Scope/pageContextMain.jsp HTTP/1.1" 500 2816
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:14:57 +0900] "GET /StudyJSP/03_Scope/pageLocation.jsp HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:18:04 +0900] "GET /StudyJSP/03_Scope/pageContextMain.jsp HTTP/1.1" 500 2816
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:19:10 +0900] "GET /StudyJSP/03_Scope/pageContextMain.jsp HTTP/1.1" 500 2816
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:19:31 +0900] "GET /StudyJSP/03_Scope/pageContextMain.jsp HTTP/1.1" 500 2816
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:19:47 +0900] "GET /StudyJSP/03_Scope/pageContextMain.jsp HTTP/1.1" 500 2816
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:20:23 +0900] "GET /StudyJSP/03_Scope/pageContextMain.jsp HTTP/1.1" 200 703
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:20:25 +0900] "GET /StudyJSP/03_Scope/pageLocation.jsp HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:29:35 +0900] "GET /StudyJSP/03_Scope/requestMain.jsp HTTP/1.1" 500 2595
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:29:54 +0900] "GET /StudyJSP/03_Scope/requestMain.jsp HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:31:40 +0900] "GET /StudyJSP/03_Scope/requestMain.jsp HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:33:35 +0900] "GET /StudyJSP/03_Scope/requestMain.jsp HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:42:17 +0900] "GET /StudyJSP/03_Scope/requestForword.jsp HTTP/1.1" 500 2636
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:42:35 +0900] "GET /StudyJSP/03_Scope/requestForword.jsp HTTP/1.1" 500 2636
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:42:59 +0900] "GET /StudyJSP/03_Scope/requestMain.jsp HTTP/1.1" 200 506
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:46:43 +0900] "GET /StudyJSP/03_Scope/requestMain.jsp HTTP/1.1" 200 405
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:46:47 +0900] "GET /StudyJSP/03_Scope/requestForword.jsp HTTP/1.1" 500 2636
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:49:14 +0900] "GET /StudyJSP/03_Scope/requestForword.jsp HTTP/1.1" 500 2636
0:0:0:0:0:0:0:1 - - [10/Oct/2024:11:30:51 +0900] "GET /StudyJSP/03_Scope/sessionMain.jsp HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [10/Oct/2024:11:30:52 +0900] "GET /StudyJSP/03_Scope/sessionLocation.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [10/Oct/2024:11:33:52 +0900] "GET /StudyJSP/03_Scope/sessionMain.jsp HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [10/Oct/2024:11:33:53 +0900] "GET /StudyJSP/03_Scope/sessionLocation.jsp HTTP/1.1" 200 223
0:0:0:0:0:0:0:1 - - [10/Oct/2024:11:36:05 +0900] "GET /StudyJSP/03_Scope/sessionLocation.jsp HTTP/1.1" 200 223
0:0:0:0:0:0:0:1 - - [10/Oct/2024:11:50:14 +0900] "GET /StudyJSP/03_Scope/applicationResult.jsp HTTP/1.1" 500 2587
